"Price","Size","Baths","Bedrooms","Fireplace","Acres","Age"
142.212,1.982,1,3,0,2,133
134.865,1.676,1.5,3,1,0.38,14
118.007,1.694,2,3,1,0.96,15
138.297,1.8,1,2,1,0.48,49
129.47,2.088,1,3,1,1.84,29
206.512,1.456,2,3,0,0.98,10
50.709,0.96,1.5,2,0,0.01,12
108.794,1.464,1,2,0,0.11,87
68.353,1.216,1,2,0,0.61,101
123.266,1.632,1.5,3,0,0.23,14
309.808,2.27,2.5,3,1,4.05,9
157.946,1.804,2.5,3,1,0.43,0
80.248,1.6,1.5,3,0,0.36,16
135.708,1.46,2,2,0,0.18,17
173.723,1.548,2,3,1,0.36,0
140.51,1.59,2.5,3,1,0.42,0
122.221,1.17,1.5,4,0,3,26
151.917,1.51,2.5,3,1,0.39,0
235.105,2.299,2.5,4,1,0.8,6
259.999,2.577,2.5,4,1,0.77,1
211.517,2.328,2.5,4,1,0.85,10
102.068,1.172,2.5,3,1,0.85,73
128.44,1.554,1.5,3,0,4.87,103
115.659,1.242,2,3,1,0.72,30
145.583,1.376,2,3,1,0.46,25
116.289,1.107,1,3,1,0.46,43
238.792,2.25,2.5,4,1,2.48,10
221.925,2.472,2,4,0,0.62,183
310.696,2.843,2.5,4,1,0.71,5
139.079,1.4,1.5,3,1,1,35
109.578,1.342,1,2,1,0.57,41
65.325,0.813,1,2,0,0.39,68
89.893,1.48,2.5,2,1,0.29,14
87.588,1.392,1,2,0,0.24,17
132.311,1.512,1.5,3,1,0.25,13
131.411,1.512,1.5,3,1,0.05,13
158.863,1.696,2.5,3,1,0.71,5
130.49,1.595,2,3,1,0.22,6
88.207,1.48,1.5,3,0,0.07,14
178.767,2.291,2.5,4,1,0.1,0
148.246,1.391,2,3,0,0.04,12
205.073,2.501,2.5,4,0,0.07,0
185.323,1.662,2,3,0,0.5,0
71.904,0.957,1,3,0,0.19,45
82.556,1.48,1.5,3,1,0.1,14
199.684,2.275,2.5,4,0,2.17,0
122.221,1.44,1,3,1,2.12,32
81.762,1.008,1,3,0,0.33,41
84.291,1.48,2.5,2,1,0.07,14
206.512,2.116,2.5,3,1,2.17,0
105.363,1.1,1,3,1,0.2,93
45.004,0.96,1,2,0,0.54,11
62.105,1.228,1,2,0,0.31,53
103.508,1.56,1.5,3,1,0.88,16
157.513,2.164,2,3,1,0.69,183
79.893,2.634,2.5,4,0,0.24,83
88.77,1,1,3,0,0.52,91
115.312,0.912,1,2,0,0.46,14
118.952,1.572,1.5,3,0,1.61,16
103.861,1.7,1,3,1,0.46,25
112.649,1.35,1.5,3,0,0.46,26
127.385,1.416,1.5,3,0,0.37,11
153.129,1.56,2,3,1,1,4
143.808,1.572,1.5,3,0,0.46,7
133.067,1.326,2,4,0,0.46,7
226.742,1.989,2,3,1,1,247
98.652,1.158,1.5,3,0,0.86,14
111.394,1.272,1.5,3,0,0.34,1
101.418,1.852,2,4,1,0.92,37
139.219,2.308,3,2,0,0.45,5
115.248,1.7,2,2,0,0.69,15
99.574,1.628,1.5,2,1,0.32,30
224.818,2.738,2.5,2,1,0.76,12
108.459,1.292,1.5,3,0,0.34,25
107.919,1.056,2,2,0,0.52,7
45.904,1.328,1,4,0,0.19,103
83.617,1.272,1.5,4,0,0.19,115
154.723,1.944,2.5,3,0,2.13,0
101.258,1.232,1,3,1,0.72,43
118.949,1.164,2,3,0,0.52,5
128.717,1.215,1.5,3,0,0.23,41
136.379,1.486,2.5,3,0,0.38,0
124.367,1.272,1.5,3,0,0.34,1
62.938,1.064,1,3,0,0.13,95
172.016,1.547,2,3,0,0.72,11
106.524,1.148,1,3,0,0.35,7
147.412,1.821,2.5,3,0,1,0
111.221,1.056,1,3,0,0.81,27
75.862,0.995,1,3,0,0.38,47
109.578,1.176,2,3,0,0.64,5
119.166,0.912,1,2,0,0.11,68
185.318,1.5,1.5,4,1,0.58,208
104.749,1.852,1,4,0,0.1,147
44.674,1.214,1,3,0,0.14,103
80.54,1.38,1.5,2,0,0.13,0
93.773,1.324,1.5,3,0,0.19,5
109.999,1.218,1.5,3,1,1.43,0
16.858,1.629,1,3,0,0.76,180
114.326,1.053,1,3,1,1,41
106.524,1.308,1,2,0,1.35,17
160.995,1.344,1.5,2,1,4,15
139.079,1.608,1,3,1,0.44,63
59.003,3.285,2,5,0,0.42,233
147.425,1.582,1.5,3,0,0.35,11
144.695,1.642,2,3,1,0.4,11
130.229,1.248,2,3,0,0.35,11
119.84,1.411,1,3,1,0.38,48
129.723,1.593,1,3,1,1.8,63
133.595,1.666,2.5,3,1,0.2,1
126.311,1.471,2.5,3,0,0.08,4
167.693,1.876,2.5,3,1,0.34,1
103.958,1.486,1.5,3,0,0.1,16
155.488,1.747,2.5,3,0,0.36,1
152.112,1.512,2.5,3,1,0.36,18
228.619,2.527,2.5,4,1,0.46,1
139.435,1.666,2.5,3,0,0.19,0
161.923,1.456,2,3,1,0.75,1
261.011,3.015,2.5,4,1,0.46,1
120.115,0.967,2,4,0,1.2,55
153.013,1.72,2,4,1,0.72,31
298.923,3.515,2.5,4,1,0.51,0
271.791,2.815,2.5,4,1,0.48,1
126.498,0.72,1,3,0,1,113
267.731,3.001,2.5,5,1,0.66,0
181.979,1.822,2.5,3,1,0.47,4
145.663,1.666,2.5,3,1,0.2,1
128.273,1.343,2.5,2,1,0.12,15
106.524,1.144,1,2,1,0.18,16
101.997,1.214,1.5,2,0,0.01,17
110.963,1.888,1,3,1,0.47,18
