"tim","cpi","index","t"
"2002-01-01",100,"food_away",2002
"2002-02-01",100.34,"food_away",2002.08
"2002-03-01",100.4,"food_away",2002.17
"2002-04-01",100.45,"food_away",2002.25
"2002-05-01",100.68,"food_away",2002.33
"2002-06-01",101.02,"food_away",2002.42
"2002-07-01",101.19,"food_away",2002.5
"2002-08-01",101.36,"food_away",2002.58
"2002-09-01",101.59,"food_away",2002.67
"2002-10-01",101.81,"food_away",2002.75
"2002-11-01",101.93,"food_away",2002.83
"2002-12-01",102.1,"food_away",2002.92
"2003-01-01",101.98,"food_away",2003
"2003-02-01",102.44,"food_away",2003.08
"2003-03-01",102.61,"food_away",2003.17
"2003-04-01",102.66,"food_away",2003.25
"2003-05-01",102.89,"food_away",2003.33
"2003-06-01",103.12,"food_away",2003.42
"2003-07-01",103.34,"food_away",2003.5
"2003-08-01",103.51,"food_away",2003.58
"2003-09-01",103.63,"food_away",2003.67
"2003-10-01",103.91,"food_away",2003.75
"2003-11-01",104.2,"food_away",2003.83
"2003-12-01",104.48,"food_away",2003.92
"2004-01-01",104.82,"food_away",2004
"2004-02-01",105.16,"food_away",2004.08
"2004-03-01",105.33,"food_away",2004.17
"2004-04-01",105.56,"food_away",2004.25
"2004-05-01",105.84,"food_away",2004.33
"2004-06-01",106.01,"food_away",2004.42
"2004-07-01",106.46,"food_away",2004.5
"2004-08-01",106.8,"food_away",2004.58
"2004-09-01",107.09,"food_away",2004.67
"2004-10-01",107.37,"food_away",2004.75
"2004-11-01",107.48,"food_away",2004.83
"2004-12-01",107.65,"food_away",2004.92
"2005-01-01",108.16,"food_away",2005
"2005-02-01",108.5,"food_away",2005.08
"2005-03-01",108.67,"food_away",2005.17
"2005-04-01",108.9,"food_away",2005.25
"2005-05-01",109.18,"food_away",2005.33
"2005-06-01",109.52,"food_away",2005.42
"2005-07-01",109.75,"food_away",2005.5
"2005-08-01",110.09,"food_away",2005.58
"2005-09-01",110.32,"food_away",2005.67
"2005-10-01",110.66,"food_away",2005.75
"2005-11-01",110.88,"food_away",2005.83
"2005-12-01",111.11,"food_away",2005.92
"2006-01-01",111.45,"food_away",2006
"2006-02-01",111.79,"food_away",2006.08
"2006-03-01",112.02,"food_away",2006.17
"2006-04-01",112.24,"food_away",2006.25
"2006-05-01",112.64,"food_away",2006.33
"2006-06-01",112.93,"food_away",2006.42
"2006-07-01",113.21,"food_away",2006.5
"2006-08-01",113.49,"food_away",2006.58
"2006-09-01",113.66,"food_away",2006.67
"2006-10-01",114,"food_away",2006.75
"2006-11-01",114.29,"food_away",2006.83
"2006-12-01",114.63,"food_away",2006.92
"2007-01-01",115.18,"food_away",2007
"2007-02-01",115.59,"food_away",2007.08
"2007-03-01",115.69,"food_away",2007.17
"2007-04-01",116.06,"food_away",2007.25
"2007-05-01",116.35,"food_away",2007.33
"2007-06-01",116.74,"food_away",2007.42
"2007-07-01",117.31,"food_away",2007.5
"2007-08-01",117.78,"food_away",2007.58
"2007-09-01",118.37,"food_away",2007.67
"2007-10-01",118.64,"food_away",2007.75
"2007-11-01",118.96,"food_away",2007.83
"2007-12-01",119.18,"food_away",2007.92
"2008-01-01",119.65,"food_away",2008
"2008-02-01",120.11,"food_away",2008.08
"2008-03-01",120.49,"food_away",2008.17
"2008-04-01",120.8,"food_away",2008.25
"2008-05-01",121.3,"food_away",2008.33
"2008-06-01",121.89,"food_away",2008.42
"2008-07-01",122.66,"food_away",2008.5
"2008-08-01",123.05,"food_away",2008.58
"2008-09-01",123.71,"food_away",2008.67
"2008-10-01",124.31,"food_away",2008.75
"2008-11-01",124.74,"food_away",2008.83
