"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","year_filed","scdb_id","stingsAsFactors"
"justice roberts","majority",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice thomas","concurring",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice breyer","dissenting",FALSE,"McCutcheon v. Federal Election Comm'n",2014-04-02,"134 S. Ct. 1434",2014,"2013-033",FALSE
"justice kagan","majority",FALSE,"Kaley v. United States",2014-02-25,NA,2014,NA,FALSE
"justice roberts","dissenting",FALSE,"Kaley v. United States",2014-02-25,NA,2014,NA,FALSE
"justice white","majority",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362",1990,"1989-077",FALSE
"justice kennedy","dissenting",FALSE,"Steelworkers v. Rawson",1990-05-14,"495 U.S. 362",1990,"1989-077",FALSE
"justice scalia","majority",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75",1998,"1997-037",FALSE
"justice thomas","concurring",FALSE,"Oncale v. Sundowner Offshore Services, Inc.",1998-03-04,"523 U.S. 75",1998,"1997-037",FALSE
"justice scalia","majority",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice kennedy","concurring",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice breyer","dissenting",FALSE,"Summers v. Earth Island Institute",2009-03-03,"555 U.S. 488",2009,"2008-027",FALSE
"justice scalia","majority",FALSE,"Budinich v. Becton Dickinson & Co.",1988-05-23,"486 U.S. 196",1988,"1987-088",FALSE
"justice white","majority",FALSE,"Lefkowitz v. Turley",1973-11-19,"414 U.S. 70",1973,"1973-013",FALSE
"justice douglas","majority",FALSE,"Ford Motor Co. v. United States",1972-03-29,"405 U.S. 562",1972,"1971-084",FALSE
"justice scalia","majority",FALSE,"Reiter v. Cooper",1993-03-08,"507 U.S. 258",1993,"1992-041",FALSE
"justice ginsburg","majority",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132",2017,"2016-053",FALSE
"justice thomas","concurring",FALSE,"Microsoft Corp. v. Baker",2017-06-12,"198 L. Ed. 2d 132",2017,"2016-053",FALSE
"justice blackmun","majority",FALSE,"Automobile Workers v. Johnson Controls, Inc.",1991-03-20,"499 U.S. 187",1991,"1990-048",FALSE
"justice white","concurring",FALSE,"Automobile Workers v. Johnson Controls, Inc.",1991-03-20,"499 U.S. 187",1991,"1990-048",FALSE
"justice burger","majority",FALSE,"Rondeau v. Mosinee Paper Corp.",1975-06-17,"422 U.S. 49",1975,"1974-123",FALSE
"justice brennan","dissenting",FALSE,"Rondeau v. Mosinee Paper Corp.",1975-06-17,"422 U.S. 49",1975,"1974-123",FALSE
"justice blackmun","majority",FALSE,"Huffman v. Western Nuclear, Inc.",1988-06-15,"486 U.S. 663",1988,"1987-114",FALSE
"justice ginsburg","majority",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice scalia","concurring",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice thomas","dissenting",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice alito","second_dissenting",FALSE,"Kimbrough v. United States",2007-12-10,"552 U.S. 85",2007,"2007-007",FALSE
"justice o'connor","majority",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice marshall","dissenting",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice stevens","second_dissenting",FALSE,"Kadrmas v. Dickinson Public Schools",1988-06-24,"487 U.S. 450",1988,"1987-143",FALSE
"justice powell","majority",FALSE,"Gould v. Ruefenacht",1985-05-28,"471 U.S. 701",1985,"1984-105",FALSE
"justice holmes","majority",FALSE,"Aikens v. Wisconsin",2005-03-04,"195 U.S. 194",2005,NA,FALSE
"justice white","dissenting",FALSE,"Aikens v. Wisconsin",2005-03-04,"195 U.S. 194",2005,NA,FALSE
"justice thomas","majority",FALSE,"Florida Dept. of Rev. v. PICCADILLY",2008-06-16,"554 U.S. 33",2008,"2007-057",FALSE
"justice breyer","dissenting",FALSE,"Florida Dept. of Rev. v. PICCADILLY",2008-06-16,"554 U.S. 33",2008,"2007-057",FALSE
"justice stewart","majority",FALSE,"Mincey v. Arizona",1978-06-21,"437 U.S. 385",1978,"1977-123",FALSE
"justice marshall","concurring",FALSE,"Mincey v. Arizona",1978-06-21,"437 U.S. 385",1978,"1977-123",FALSE
"justice marshall","majority",FALSE,"GTE Sylvania, Inc. v. Consumers Union of United States, Inc.",1980-03-19,"445 U.S. 375",1980,"1979-059",FALSE
"justice white","majority",FALSE,"Paperworkers v. Misco, Inc.",1987-12-01,"484 U.S. 29",1987,"1987-005",FALSE
"justice blackmun","concurring",FALSE,"Paperworkers v. Misco, Inc.",1987-12-01,"484 U.S. 29",1987,"1987-005",FALSE
"justice stevens","majority",FALSE,"Pfaff v. Wells Electronics, Inc.",1998-12-14,"525 U.S. 55",1998,"1998-002",FALSE
"justice stewart","majority",FALSE,"Chandler v. Roudebush",1976-06-01,"425 U.S. 840",1976,"1975-104",FALSE
"justice white","majority",FALSE,"Pullman-Standard v. Swint",1982-04-27,"456 U.S. 273",1982,"1981-082",FALSE
"justice marshall","dissenting",FALSE,"Pullman-Standard v. Swint",1982-04-27,"456 U.S. 273",1982,"1981-082",FALSE
"justice blackmun","majority",FALSE,"Webb's Fabulous Pharmacies, Inc. v. Beckwith",1980-12-09,"449 U.S. 155",1980,"1980-012",FALSE
"justice marshall","majority",FALSE,"McDonald v. Santa Fe Trail Transp. Co.",1976-06-25,"427 U.S. 273",1976,"1975-154",FALSE
"justice rehnquist","dissenting",TRUE,"Johnson v. Board of Ed. of Chicago",1982-06-07,"457 U.S. 52",1982,"1981-110",FALSE
"justice marshall","majority",FALSE,"Iowa Mut. Ins. Co. v. LaPlante",1987-02-24,"480 U.S. 9",1987,"1986-033",FALSE
"justice breyer","majority",FALSE,"Dickinson v. Zurko",1999-06-10,"527 U.S. 150",1999,"1998-071",FALSE
"justice rehnquist","dissenting",FALSE,"Dickinson v. Zurko",1999-06-10,"527 U.S. 150",1999,"1998-071",FALSE
"justice scalia","majority",FALSE,"Jinks v. Richland County",2003-04-22,"538 U.S. 456",2003,"2002-043",FALSE
"justice souter","concurring",FALSE,"Jinks v. Richland County",2003-04-22,"538 U.S. 456",2003,"2002-043",FALSE
"justice ginsburg","majority",FALSE,"Los Angeles County Flood Control Dist. v. Natural Resources Defense Council, Inc.",2013-01-08,"133 S. Ct. 710",2013,"2012-008",FALSE
"justice white","majority",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice brennan","concurring",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice douglas","dissenting",FALSE,"MacKey v. United States",1971-04-05,"401 U.S. 667",1971,"1970-074",FALSE
"justice powell","majority",FALSE,"Blum v. Stenson",1984-03-21,"465 U.S. 886",1984,"1983-058",FALSE
"justice brennan","concurring",FALSE,"Blum v. Stenson",1984-03-21,"465 U.S. 886",1984,"1983-058",FALSE
"justice kennedy","majority",FALSE,"Overton v. Bazzetta",2003-06-16,"539 U.S. 126",2003,"2002-073",FALSE
"justice stevens","concurring",FALSE,"Overton v. Bazzetta",2003-06-16,"539 U.S. 126",2003,"2002-073",FALSE
"justice ginsburg","majority",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice stevens","concurring",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice kennedy","dissenting",FALSE,"Hibbs v. Winn",2004-06-14,"542 U.S. 88",2004,"2003-072",FALSE
"justice o'connor","majority",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice blackmun","dissenting",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice stevens","second_dissenting",FALSE,"Schiro v. Farley",1994-01-19,"510 U.S. 222",1994,"1993-015",FALSE
"justice brennan","majority",FALSE,"Pipefitters v. United States",1972-06-22,"407 U.S. 385",1972,"1971-152",FALSE
"justice powell","dissenting",FALSE,"Pipefitters v. United States",1972-06-22,"407 U.S. 385",1972,"1971-152",FALSE
"justice white","majority",FALSE,"Helling v. McKinney",1993-06-18,"509 U.S. 25",1993,"1992-099",FALSE
"justice thomas","dissenting",FALSE,"Helling v. McKinney",1993-06-18,"509 U.S. 25",1993,"1992-099",FALSE
